2023-05-16 22:14:03,67911/69980,679099/699811,6789745/6999399,67772875/70122936
2023-05-16 22:29:31,67995/70066,679939/700676,6798135/7008049,67856570/70209652
2023-05-16 22:31:20,67998/70069,679967/700705,6798415/7008338,67859361/70212546
2023-05-16 22:38:03,68026/70098,680247/700993,6801215/7011225,67887286/70241498
2023-05-16 22:44:40,67873/69941,678720/699420,6785953/6995486,67735147/70083610
2023-05-16 22:49:15,67603/69663,676020/696638,6758963/6967655,67466047/69804468
2023-05-17 04:35:29,68264/70344,682631/703449,6825119/7035711,68132625/70479808
2023-05-17 06:26:43,68264/70344,682631/703449,6825119/7035712,68132600/70479835
2023-05-17 06:48:51,68271/70350,682695/703514,6825757/7036370,68138974/70486428
2023-05-17 06:59:56,68271/70350,682694/703515,6825749/7036378,68138180/70487252
2023-05-17 07:01:55,69081/71185,690796/711864,6906747/7119892,68946033/71324598
2023-05-17 08:34:32,69272/71382,692710/713836,6925883/7139619,69137057/71522215
